dataset,backbone,direction,n_calib,sample_seed,gap_cos_to_full,gap_angle_deg,r10,r100,delta_r100_vs_original_exact,delta_r100_vs_fullgap,gt_protocol
audiocaps,imagebind,text2audio,25,4,0.9731845855712891,13.298577106867093,0.8420611551528879,0.8822400906002265,-0.11775990939977354,-0.005741789354473448,original_exact_ip
audiocaps,imagebind,text2audio,50,0,0.9820783734321594,10.863683113955709,0.8350396375990939,0.8786817667044168,-0.12131823329558322,-0.009300113250283126,original_exact_ip
audiocaps,imagebind,text2audio,50,1,0.9756596684455872,12.667349075342614,0.8455039637599094,0.8894133635334088,-0.11058663646659117,0.0014314835787089253,original_exact_ip
audiocaps,imagebind,text2audio,50,2,0.9876589179039001,9.010769981384787,0.8374178935447338,0.8797395243488109,-0.12026047565118914,-0.00824235560588904,original_exact_ip
audiocaps,imagebind,text2audio,50,3,0.978243887424469,11.973436586144087,0.8548584371460929,0.8947474518686297,-0.1052525481313703,0.006765571913929791,original_exact_ip
audiocaps,imagebind,text2audio,50,4,0.9762299656867981,12.517470438997888,0.8361041902604757,0.8813952434881087,-0.11860475651189128,-0.006586636466591189,original_exact_ip
audiocaps,imagebind,text2audio,100,0,0.9906659126281738,7.8345120450587515,0.8318233295583239,0.8768040770101925,-0.12319592298980753,-0.011177802944507431,original_exact_ip
audiocaps,imagebind,text2audio,100,1,0.9889572262763977,8.522699572323338,0.8338618346545866,0.87919818799547,-0.12080181200453,-0.0087836919592299,original_exact_ip
audiocaps,imagebind,text2audio,100,2,0.9904923439025879,7.907133246753594,0.8497168742921857,0.8896398640996602,-0.11036013590033977,0.0016579841449603228,original_exact_ip
audiocaps,imagebind,text2audio,100,3,0.9935949444770813,6.488303538555051,0.8402944507361269,0.8829513023782559,-0.11704869762174408,-0.005030577576443984,original_exact_ip
audiocaps,imagebind,text2audio,100,4,0.9920756816864014,7.2178158015939085,0.847836919592299,0.8888833522083806,-0.11111664779161945,0.0009014722536806463,original_exact_ip
audiocaps,imagebind,text2audio,200,0,0.9956557750701904,5.342581181996831,0.8515741789354473,0.8934201585503964,-0.10657984144960364,0.005438278595696455,original_exact_ip
audiocaps,imagebind,text2audio,200,1,0.9966580867767334,4.685503176607019,0.8480860702151756,0.8894269535673839,-0.11057304643261612,0.001445073612683978,original_exact_ip
audiocaps,imagebind,text2audio,200,2,0.9963441491127014,4.9007693743904746,0.8466364665911664,0.8871075877689695,-0.11289241223103053,-0.0008742921857304298,original_exact_ip
audiocaps,imagebind,text2audio,200,3,0.9959037899971008,5.187726782081107,0.845436013590034,0.8877938844847112,-0.1122061155152888,-0.00018799546998871097,original_exact_ip
audiocaps,imagebind,text2audio,200,4,0.9965499639511108,4.760739154874787,0.8472253680634202,0.8907293318233296,-0.10927066817667042,0.00274745186862968,original_exact_ip
audiocaps,imagebind,text2audio,400,0,0.9985792636871338,3.0545398980481715,0.8462967157417893,0.8885254813137032,-0.11147451868629676,0.0005436013590033317,original_exact_ip
audiocaps,imagebind,text2audio,400,1,0.9982789158821106,3.3620253713608346,0.8468403171007928,0.888731596828992,-0.11126840317100795,0.0007497168742921501,original_exact_ip
audiocaps,imagebind,text2audio,400,2,0.9981051087379456,3.527754699169339,0.8469988674971688,0.8894677236693092,-0.11053227633069085,0.0014858437146092474,original_exact_ip
audiocaps,imagebind,text2audio,400,3,0.9984670281410217,3.1729279998837643,0.8441902604756512,0.8875787089467724,-0.11242129105322762,-0.00040317100792752747,original_exact_ip
audiocaps,imagebind,text2audio,400,4,0.9971399307250977,4.334404815192319,0.8466364665911664,0.8877214043035108,-0.11227859569648924,-0.0002604756511891404,original_exact_ip
audiocaps,imagebind,audio2text,25,0,0.959876537322998,16.28544953511792,0.7664027149321267,0.8896266968325792,-0.11037330316742078,0.0009728506787330948,original_exact_ip
audiocaps,imagebind,audio2text,25,1,0.9618139863014221,15.88479331335299,0.7489819004524887,0.8826018099547511,-0.11739819004524887,-0.006052036199095001,original_exact_ip
audiocaps,imagebind,audio2text,25,2,0.9546234607696533,17.326441725223404,0.7630090497737556,0.8899547511312217,-0.11004524886877831,0.001300904977375561,original_exact_ip
audiocaps,imagebind,audio2text,25,3,0.9478732347488403,18.58116076081816,0.7665158371040725,0.8901244343891402,-0.10987556561085976,0.0014705882352941124,original_exact_ip
audiocaps,imagebind,audio2text,25,4,0.948735773563385,18.42543867070296,0.7569004524886878,0.8855656108597285,-0.11443438914027149,-0.003088235294117614,original_exact_ip
audiocaps,imagebind,audio2text,50,0,0.977351725101471,12.217385774798482,0.7631221719457013,0.8902828054298643,-0.10971719457013573,0.0016289592760181382,original_exact_ip
audiocaps,imagebind,audio2text,50,1,0.9811291098594666,11.148569841256073,0.7549773755656108,0.8892760180995475,-0.11072398190045252,0.0006221719457013553,original_exact_ip
audiocaps,imagebind,audio2text,50,2,0.9760046005249023,12.576908192868071,0.7531674208144796,0.8878280542986425,-0.11217194570135747,-0.0008257918552035948,original_exact_ip
audiocaps,imagebind,audio2text,50,3,0.9720650315284729,13.574628131932485,0.7735294117647059,0.8972058823529412,-0.10279411764705881,0.008552036199095059,original_exact_ip
audiocaps,imagebind,audio2text,50,4,0.9711377620697021,13.799163559667415,0.7579185520361991,0.8866742081447964,-0.11332579185520364,-0.0019796380090497667,original_exact_ip
audiocaps,imagebind,audio2text,100,0,0.9910473823547363,7.672505134827302,0.7601809954751131,0.890475113122172,-0.10952488687782802,0.001821266968325852,original_exact_ip
audiocaps,imagebind,audio2text,100,1,0.9912887215614319,7.568230564819772,0.7538461538461538,0.8882466063348416,-0.11175339366515835,-0.00040723981900447903,original_exact_ip
audiocaps,imagebind,audio2text,100,2,0.9917886257171631,7.347560694791297,0.7567873303167421,0.888393665158371,-0.11160633484162896,-0.00026018099547509,original_exact_ip
audiocaps,imagebind,audio2text,100,3,0.9884005188941956,8.735295599904273,0.7531674208144796,0.8863235294117647,-0.11367647058823527,-0.0023303167420813953,original_exact_ip
audiocaps,imagebind,audio2text,100,4,0.9904711246490479,7.915965973414536,0.7563348416289593,0.8886199095022624,-0.11138009049773756,-3.393665158368808e-05,original_exact_ip
audiocaps,imagebind,audio2text,200,0,0.9948999285697937,5.789092783411423,0.7584841628959276,0.8907918552036199,-0.10920814479638008,0.0021380090497737925,original_exact_ip
audiocaps,imagebind,audio2text,200,1,0.9949452877044678,5.763269877838773,0.7537330316742081,0.885972850678733,-0.11402714932126701,-0.002680995475113135,original_exact_ip
audiocaps,imagebind,audio2text,200,2,0.995300829410553,5.556719202393905,0.7584841628959276,0.8907918552036199,-0.10920814479638008,0.0021380090497737925,original_exact_ip
audiocaps,imagebind,audio2text,200,3,0.9946320056915283,5.939339068624212,0.7555429864253393,0.8891742081447964,-0.11082579185520358,0.000520361990950291,original_exact_ip
audiocaps,imagebind,audio2text,200,4,0.9967494606971741,4.620968968886937,0.7535067873303167,0.8865610859728507,-0.11343891402714934,-0.0020927601809954677,original_exact_ip
audiocaps,imagebind,audio2text,400,0,0.9982617497444153,3.3787550718779364,0.7595022624434389,0.8901470588235294,-0.1098529411764706,0.0014932126696832748,original_exact_ip
audiocaps,imagebind,audio2text,400,1,0.9985876679420471,3.0454899173779593,0.754524886877828,0.8875452488687783,-0.11245475113122172,-0.0011085972850678472,original_exact_ip
audiocaps,imagebind,audio2text,400,2,0.9980905055999756,3.5413263906456827,0.7579185520361991,0.889343891402715,-0.11065610859728503,0.0006900452488688424,original_exact_ip
audiocaps,imagebind,audio2text,400,3,0.9988547563552856,2.7423825191198645,0.7550904977375565,0.8879524886877828,-0.11204751131221724,-0.0007013574660633681,original_exact_ip
audiocaps,imagebind,audio2text,400,4,0.998013436794281,3.6121081601852487,0.7576923076923077,0.8891742081447964,-0.11082579185520358,0.000520361990950291,original_exact_ip
