backbone,dataset,method,alpha,direction,nprobe,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
imagebind,mscoco,ivfpq_pmc_1.00,1.0,text->image,16,1000,0.982,0.9224,508.08,64,5000,1024,42
imagebind,mscoco,opq_vanilla,0.0,text->image,16,0,0.5835,0.6843,41691.96,64,5000,1024,42
imagebind,mscoco,opq_vanilla,0.0,text->image,16,100,0.9636,0.6843,6798.25,64,5000,1024,42
imagebind,mscoco,opq_vanilla,0.0,text->image,16,200,0.9662,0.8488,4681.04,64,5000,1024,42
imagebind,mscoco,opq_vanilla,0.0,text->image,16,500,0.9665,0.8883,1101.61,64,5000,1024,42
imagebind,mscoco,opq_vanilla,0.0,text->image,16,1000,0.9666,0.8889,464.81,64,5000,1024,42
imagebind,mscoco,opq_pmc_1.00,1.0,text->image,16,0,0.6628,0.7572,37155.27,64,5000,1024,42
imagebind,mscoco,opq_pmc_1.00,1.0,text->image,16,100,0.9802,0.7572,7786.6,64,5000,1024,42
imagebind,mscoco,opq_pmc_1.00,1.0,text->image,16,200,0.9818,0.8979,5400.68,64,5000,1024,42
imagebind,mscoco,opq_pmc_1.00,1.0,text->image,16,500,0.9819,0.922,1106.15,64,5000,1024,42
imagebind,mscoco,opq_pmc_1.00,1.0,text->image,16,1000,0.982,0.9225,514.18,64,5000,1024,42
imagebind,mscoco,ivfpq_vanilla,0.0,text->image,64,0,0.4192,0.5925,27625.64,64,5000,1024,42
imagebind,mscoco,ivfpq_vanilla,0.0,text->image,64,100,0.9457,0.5925,6836.95,64,5000,1024,42
imagebind,mscoco,ivfpq_vanilla,0.0,text->image,64,200,0.9847,0.7953,5075.51,64,5000,1024,42
imagebind,mscoco,ivfpq_vanilla,0.0,text->image,64,500,0.9981,0.9437,936.14,64,5000,1024,42
imagebind,mscoco,ivfpq_vanilla,0.0,text->image,64,1000,0.9998,0.9868,560.13,64,5000,1024,42
imagebind,mscoco,ivfpq_pmc_1.00,1.0,text->image,64,0,0.5986,0.7009,24664.38,64,5000,1024,42
imagebind,mscoco,ivfpq_pmc_1.00,1.0,text->image,64,100,0.9816,0.7009,9253.79,64,5000,1024,42
imagebind,mscoco,ivfpq_pmc_1.00,1.0,text->image,64,200,0.9959,0.8866,6557.07,64,5000,1024,42
imagebind,mscoco,ivfpq_pmc_1.00,1.0,text->image,64,500,0.9995,0.9788,1172.06,64,5000,1024,42
imagebind,mscoco,ivfpq_pmc_1.00,1.0,text->image,64,1000,0.9998,0.996,545.08,64,5000,1024,42
imagebind,mscoco,opq_vanilla,0.0,text->image,64,0,0.5879,0.6998,20966.82,64,5000,1024,42
imagebind,mscoco,opq_vanilla,0.0,text->image,64,100,0.9936,0.6998,7638.96,64,5000,1024,42
imagebind,mscoco,opq_vanilla,0.0,text->image,64,200,0.9989,0.9007,5086.51,64,5000,1024,42
imagebind,mscoco,opq_vanilla,0.0,text->image,64,500,0.9998,0.9879,1188.81,64,5000,1024,42
imagebind,mscoco,opq_vanilla,0.0,text->image,64,1000,1.0,0.9987,561.58,64,5000,1024,42
imagebind,mscoco,opq_pmc_1.00,1.0,text->image,64,0,0.6654,0.7734,18683.19,64,5000,1024,42
imagebind,mscoco,opq_pmc_1.00,1.0,text->image,64,100,0.9969,0.7734,5768.64,64,5000,1024,42
imagebind,mscoco,opq_pmc_1.00,1.0,text->image,64,200,0.9994,0.9458,4678.33,64,5000,1024,42
imagebind,mscoco,opq_pmc_1.00,1.0,text->image,64,500,0.9998,0.9954,979.8,64,5000,1024,42
imagebind,mscoco,opq_pmc_1.00,1.0,text->image,64,1000,0.9999,0.9995,534.0,64,5000,1024,42
imagebind,mscoco,ivfpq_vanilla,0.0,image->text,16,0,0.4142,0.5881,55817.03,64,5000,1024,42
imagebind,mscoco,ivfpq_vanilla,0.0,image->text,16,100,0.9393,0.5881,8624.49,64,5000,1024,42
imagebind,mscoco,ivfpq_vanilla,0.0,image->text,16,200,0.9702,0.7818,5892.21,64,5000,1024,42
imagebind,mscoco,ivfpq_vanilla,0.0,image->text,16,500,0.9755,0.8956,1068.09,64,5000,1024,42
imagebind,mscoco,ivfpq_vanilla,0.0,image->text,16,1000,0.9757,0.9082,528.68,64,5000,1024,42
imagebind,mscoco,ivfpq_pmc_1.00,1.0,image->text,16,0,0.5593,0.6804,50739.53,64,5000,1024,42
imagebind,mscoco,ivfpq_pmc_1.00,1.0,image->text,16,100,0.9663,0.6804,6655.25,64,5000,1024,42
imagebind,mscoco,ivfpq_pmc_1.00,1.0,image->text,16,200,0.9799,0.8493,5316.28,64,5000,1024,42
imagebind,mscoco,ivfpq_pmc_1.00,1.0,image->text,16,500,0.9833,0.9257,997.76,64,5000,1024,42
imagebind,mscoco,ivfpq_pmc_1.00,1.0,image->text,16,1000,0.9833,0.9333,497.2,64,5000,1024,42
imagebind,mscoco,opq_vanilla,0.0,image->text,16,0,0.5841,0.7236,43791.7,64,5000,1024,42
imagebind,mscoco,opq_vanilla,0.0,image->text,16,100,0.9752,0.7236,10220.93,64,5000,1024,42
imagebind,mscoco,opq_vanilla,0.0,image->text,16,200,0.9757,0.8842,7815.3,64,5000,1024,42
imagebind,mscoco,opq_vanilla,0.0,image->text,16,500,0.9758,0.9083,1214.37,64,5000,1024,42
imagebind,mscoco,opq_vanilla,0.0,image->text,16,1000,0.9757,0.9084,477.91,64,5000,1024,42
imagebind,mscoco,opq_pmc_1.00,1.0,image->text,16,0,0.6771,0.7773,41113.32,64,5000,1024,42
imagebind,mscoco,opq_pmc_1.00,1.0,image->text,16,100,0.9815,0.7773,7642.35,64,5000,1024,42
imagebind,mscoco,opq_pmc_1.00,1.0,image->text,16,200,0.9833,0.9111,5562.89,64,5000,1024,42
imagebind,mscoco,opq_pmc_1.00,1.0,image->text,16,500,0.9833,0.9331,750.62,64,5000,1024,42
imagebind,mscoco,opq_pmc_1.00,1.0,image->text,16,1000,0.9833,0.9334,476.06,64,5000,1024,42
imagebind,mscoco,ivfpq_vanilla,0.0,image->text,64,0,0.4147,0.5932,19984.97,64,5000,1024,42
imagebind,mscoco,ivfpq_vanilla,0.0,image->text,64,100,0.953,0.5932,5220.77,64,5000,1024,42
imagebind,mscoco,ivfpq_vanilla,0.0,image->text,64,200,0.9904,0.8016,3720.4,64,5000,1024,42
imagebind,mscoco,ivfpq_vanilla,0.0,image->text,64,500,0.9988,0.9554,972.93,64,5000,1024,42
imagebind,mscoco,ivfpq_vanilla,0.0,image->text,64,1000,0.9995,0.9927,476.31,64,5000,1024,42
imagebind,mscoco,ivfpq_pmc_1.00,1.0,image->text,64,0,0.5605,0.6869,18144.53,64,5000,1024,42
imagebind,mscoco,ivfpq_pmc_1.00,1.0,image->text,64,100,0.9782,0.6869,6710.4,64,5000,1024,42
imagebind,mscoco,ivfpq_pmc_1.00,1.0,image->text,64,200,0.995,0.8734,4929.15,64,5000,1024,42
imagebind,mscoco,ivfpq_pmc_1.00,1.0,image->text,64,500,0.9994,0.9778,882.27,64,5000,1024,42
imagebind,mscoco,ivfpq_pmc_1.00,1.0,image->text,64,1000,0.9996,0.9971,496.68,64,5000,1024,42
imagebind,mscoco,opq_vanilla,0.0,image->text,64,0,0.5872,0.7401,17196.64,64,5000,1024,42
imagebind,mscoco,opq_vanilla,0.0,image->text,64,100,0.9986,0.7401,5586.64,64,5000,1024,42
imagebind,mscoco,opq_vanilla,0.0,image->text,64,200,0.9996,0.9412,4301.48,64,5000,1024,42
imagebind,mscoco,opq_vanilla,0.0,image->text,64,500,0.9996,0.998,972.12,64,5000,1024,42
imagebind,mscoco,opq_vanilla,0.0,image->text,64,1000,0.9996,0.9999,486.66,64,5000,1024,42
imagebind,mscoco,opq_pmc_1.00,1.0,image->text,64,0,0.6805,0.7946,18491.3,64,5000,1024,42
imagebind,mscoco,opq_pmc_1.00,1.0,image->text,64,100,0.9971,0.7946,7867.61,64,5000,1024,42
imagebind,mscoco,opq_pmc_1.00,1.0,image->text,64,200,0.9994,0.9584,3948.56,64,5000,1024,42
imagebind,mscoco,opq_pmc_1.00,1.0,image->text,64,500,0.9996,0.9979,935.79,64,5000,1024,42
imagebind,mscoco,opq_pmc_1.00,1.0,image->text,64,1000,0.9997,0.9998,494.85,64,5000,1024,42
clip-l,flickr30k,ivfpq_vanilla,0.0,text->image,16,0,0.4551,0.5011,69076.52,64,1000,768,42
clip-l,flickr30k,ivfpq_vanilla,0.0,text->image,16,100,0.8602,0.5011,10463.53,64,1000,768,42
