backbone,dataset,method,alpha,direction,nprobe,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
clip-l,flickr30k,pmc_1.00,1.0,image->text,16,200,0.8388,0.6499,7967.21,104,1000,768,42
clip-l,flickr30k,pmc_1.00,1.0,image->text,16,500,0.8396,0.6614,4342.33,104,1000,768,42
clip-l,flickr30k,pmc_1.00,1.0,image->text,16,1000,0.8396,0.6614,4102.52,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq,0.0,image->text,64,0,0.4017,0.5047,4627.86,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq,0.0,image->text,64,100,0.7822,0.5047,3434.59,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq,0.0,image->text,64,200,0.8549,0.674,3110.47,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq,0.0,image->text,64,500,0.9392,0.8488,1223.64,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq,0.0,image->text,64,1000,1.0,1.0,678.62,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq_meanshift,0.0,image->text,64,0,0.4237,0.4763,4861.39,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq_meanshift,0.0,image->text,64,100,0.8257,0.4763,3440.27,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq_meanshift,0.0,image->text,64,200,0.902,0.6585,3069.4,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq_meanshift,0.0,image->text,64,500,0.9741,0.8816,1210.03,104,1000,768,42
clip-l,flickr30k,vanilla_rabitq_meanshift,0.0,image->text,64,1000,1.0,1.0,688.43,104,1000,768,42
clip-l,flickr30k,pmc_1.00,1.0,image->text,64,0,0.5524,0.6188,4678.24,104,1000,768,42
clip-l,flickr30k,pmc_1.00,1.0,image->text,64,100,0.9512,0.6188,3368.17,104,1000,768,42
clip-l,flickr30k,pmc_1.00,1.0,image->text,64,200,0.9835,0.8257,3031.29,104,1000,768,42
clip-l,flickr30k,pmc_1.00,1.0,image->text,64,500,0.9986,0.9759,1257.93,104,1000,768,42
clip-l,flickr30k,pmc_1.00,1.0,image->text,64,1000,1.0,1.0,670.39,104,1000,768,42
imagebind,clotho,vanilla_rabitq,0.0,text->audio,16,0,0.7078,0.7766,14717.5,136,1045,1024,42
