backbone,dataset,method,alpha,direction,nprobe,nlist,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
clip-l,mscoco,vanilla_rabitq,0.0,image->text,64,71,200,0.7636,0.5291,3477.13,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,64,71,500,0.8713,0.704,1531.08,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,64,71,1000,0.9304,0.8203,864.63,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,71,0,0.3408,0.4827,5950.92,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,71,100,0.7696,0.4827,3759.44,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,71,200,0.8536,0.6165,4098.89,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,71,500,0.9286,0.77,1399.85,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,71,1000,0.9679,0.8738,771.07,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,64,71,0,0.4315,0.5943,5694.53,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,64,71,100,0.9202,0.5943,4066.91,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,64,71,200,0.9677,0.7726,3738.86,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,64,71,500,0.9917,0.9213,1508.11,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,64,71,1000,0.9973,0.9754,860.14,104,5000,768,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,8,71,0,0.5518,0.6647,36150.68,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,8,71,100,0.9333,0.6647,9530.5,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,8,71,200,0.946,0.8118,7566.2,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,8,71,500,0.9489,0.8631,1488.63,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,8,71,1000,0.9489,0.8641,1269.92,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,0,0.5073,0.623,30637.69,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,100,0.912,0.623,10281.59,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,200,0.9384,0.7782,7881.13,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,500,0.9481,0.8579,1449.71,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,1000,0.9484,0.8623,1104.71,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,8,71,0,0.6304,0.7363,33512.99,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,8,71,100,0.9557,0.7363,8741.71,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,8,71,200,0.9589,0.8534,6697.92,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,8,71,500,0.9592,0.8706,1376.74,136,5000,1024,42
imagebind,mscoco,pmc_1.00,1.0,text->image,8,71,1000,0.9592,0.8707,1167.52,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,16,71,0,0.5542,0.6684,14989.96,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,16,71,100,0.9542,0.6684,7581.4,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,16,71,200,0.9723,0.8308,6259.63,136,5000,1024,42
